"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.804312958E0,1.323401481E-1,1.080501229E-1,4.673209786E-2
2.814310958E0,1.139750704E-1,1.764730364E-1,5.231216550E-2
2.824308958E0,9.221571684E-2,1.767430753E-1,5.477159470E-2
2.834306958E0,8.277113736E-2,1.894796789E-1,6.164585426E-2
2.844304958E0,5.741465092E-2,2.244341969E-1,8.166137338E-2
2.854302958E0,3.902832046E-2,1.988087893E-1,6.808357686E-2
2.864300958E0,4.499619827E-2,1.418051571E-1,4.607653990E-2
2.874298958E0,6.853213906E-2,1.086840928E-1,3.376741707E-2
2.884296958E0,1.111033037E-1,1.017628014E-1,4.887206852E-2
2.894294958E0,1.636424959E-1,2.353755012E-2,5.680985004E-2
2.904293958E0,2.081026435E-1,-8.925504237E-2,3.524170816E-2
2.914291958E0,2.672423720E-1,-1.579234600E-1,-1.086983131E-3
2.924289958E0,3.196904063E-1,-1.595834047E-1,-3.854114935E-2
2.934287958E0,3.065181971E-1,-6.155563146E-2,-5.008970946E-2
2.944285958E0,2.446497381E-1,3.239243478E-2,-3.699494898E-2
2.954283958E0,1.843140125E-1,7.180697471E-2,-2.599718794E-2
2.964281958E0,1.283626109E-1,1.159850881E-1,-1.492642704E-2
2.974279958E0,7.177364081E-2,1.716061532E-1,1.288575586E-2
2.984277958E0,3.337005898E-2,1.783202291E-1,5.094339326E-2
2.994275958E0,1.293556392E-2,1.190707311E-1,6.780216098E-2
3.004273958E0,1.103300136E-2,4.207262769E-2,7.692269236E-2
3.014271958E0,4.453076050E-2,-2.069422603E-2,8.129134774E-2
3.024269958E0,1.188542619E-1,-1.074315235E-1,6.096503511E-2
3.034268958E0,1.901047379E-1,-1.579528749E-1,3.653611615E-2
3.044266958E0,2.258379757E-1,-1.376997977E-1,2.114384435E-2
3.054264958E0,2.375916541E-1,-8.839280158E-2,2.415135503E-3
3.064262958E0,1.958873570E-1,-3.620652482E-3,-1.543120714E-3
3.074260958E0,1.339060366E-1,9.208697826E-2,1.591681503E-2
3.084258958E0,8.143004030E-2,1.722001880E-1,3.886234388E-2
3.094256958E0,2.658421546E-2,2.028188705E-1,5.986011028E-2
3.104254958E0,5.732994527E-3,1.716260761E-1,6.308813393E-2
3.114252958E0,7.767297793E-3,1.175049990E-1,4.197636247E-2
3.124250958E0,1.281079184E-2,5.635669082E-2,3.562312573E-2
3.134248958E0,3.027736396E-2,-5.041811243E-2,3.123133071E-2
3.144247208E0,7.302429527E-2,-1.185982302E-1,1.599485241E-2
3.154245208E0,1.148473471E-1,-1.040904075E-1,1.502201427E-2
3.164243208E0,1.580281109E-1,-1.031796038E-1,-2.527853474E-2
3.174241208E0,1.762267947E-1,-1.154838204E-1,-6.184386835E-2
3.184240208E0,1.657563150E-1,-1.297144145E-1,-8.517421782E-2
3.194238208E0,1.184903160E-1,-8.596731722E-2,-7.318455726E-2
3.204236208E0,4.865930229E-2,-1.601779461E-2,-4.516437650E-2
3.214234208E0,-3.323746473E-2,5.924884602E-2,-3.367893770E-2
3.224232208E0,-1.225969046E-1,9.666812420E-2,-1.142556407E-2
3.234230208E0,-1.302825660E-1,6.965672225E-2,-5.782447755E-3
3.244228208E0,-9.043420851E-2,4.351540282E-2,-8.533759043E-3
3.254226208E0,-4.709844291E-2,1.679258421E-2,1.360409427E-3
3.264224208E0,8.360575885E-4,1.818781532E-2,2.849855460E-2
3.274222208E0,2.572359145E-2,6.508268416E-3,4.007237032E-2
3.284220208E0,3.791633993E-2,-1.089536101E-1,2.178577334E-2
3.294218208E0,5.430340022E-2,-1.372697502E-1,6.872155704E-3
3.304216208E0,5.615962297E-2,-8.454395831E-2,-4.923251458E-3
3.314215208E0,5.536836386E-2,-1.785163581E-2,-3.176629543E-2
3.324213208E0,2.371376194E-2,6.473165751E-2,-2.763785981E-2
3.334211208E0,-1.661193371E-2,9.189610928E-2,-1.102114376E-2
3.344209208E0,-1.088081021E-2,2.176869102E-2,-9.607272223E-3
3.354207208E0,2.615283243E-2,3.006774932E-4,6.749193184E-3
3.364205208E0,6.462752074E-2,-7.878689095E-3,1.514933538E-2
3.374203208E0,8.893163502E-2,8.011418395E-4,2.897494659E-2
3.384201208E0,9.938108176E-2,-1.685185358E-3,2.633015998E-2
3.394199208E0,1.018531248E-1,-1.151167229E-2,2.310077287E-2
3.404197208E0,8.531782031E-2,1.914610527E-2,9.470716119E-3
3.414195208E0,6.727065891E-2,3.314754739E-2,4.008032847E-3
3.424193208E0,7.284145802E-2,1.860881969E-2,-2.030951204E-3
3.434191208E0,8.855442703E-2,4.513859004E-2,3.288826905E-3
3.444189208E0,8.420041949E-2,7.279738039E-2,-4.657779820E-3
3.454188208E0,4.040218890E-2,1.011208221E-1,-8.824364282E-3
3.464186208E0,-1.784753799E-2,1.185884997E-1,1.105293725E-2
3.474184208E0,-4.628153890E-2,1.283330172E-1,4.073904827E-2
3.484182208E0,-5.815844238E-2,1.346753240E-1,7.636522502E-2
3.494180208E0,-4.171767086E-2,4.587476328E-2,7.567173243E-2
3.504178208E0,1.353359967E-2,-4.811085388E-2,4.276118055E-2
3.514176208E0,4.079464078E-2,-2.213498205E-2,3.313525394E-2
3.524174208E0,1.927123964E-2,1.284244284E-2,2.863264643E-2
3.534172208E0,-1.656878740E-2,6.942972541E-4,1.401642803E-4
3.544170208E0,-3.387081623E-2,1.366815343E-2,-3.001566743E-3
3.554168208E0,-3.241551667E-2,6.197836623E-2,9.474064223E-3
3.564166208E0,-6.663280539E-3,3.034534119E-2,2.375659533E-2
3.574164208E0,3.023636341E-2,1.699195802E-2,3.340259567E-2
