"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.539505754E1,9.435504913E0,-2.674564171E1,-4.461669922E0
2.540505554E1,9.435504913E0,-2.674564171E1,-4.461669922E0
2.541505354E1,9.351949692E0,-2.695166779E1,-4.242858887E0
2.542505054E1,9.351949692E0,-2.695166779E1,-4.242858887E0
2.543504854E1,9.430648804E0,-2.715388489E1,-4.309570312E0
2.544504654E1,9.430648804E0,-2.715388489E1,-4.309570312E0
2.545504454E1,9.432847977E0,-2.726419449E1,-4.002868652E0
2.546504254E1,9.432847977E0,-2.726419449E1,-4.002868652E0
2.547503954E1,9.379251480E0,-2.723996735E1,-4.218261719E0
2.548503754E1,9.379251480E0,-2.723996735E1,-4.218261719E0
2.549503554E1,9.449652672E0,-2.703134155E1,-4.355651855E0
2.550503354E1,9.449652672E0,-2.703134155E1,-4.355651855E0
2.551503054E1,9.553222656E0,-2.703339577E1,-4.502929688E0
2.552502854E1,9.553222656E0,-2.703339577E1,-4.502929688E0
2.553502654E1,9.801480293E0,-2.700721169E1,-4.449951172E0
2.554502454E1,9.801480293E0,-2.700721169E1,-4.449951172E0
2.555502254E1,1.018881607E1,-2.694095612E1,-4.424621582E0
2.556501954E1,1.018881607E1,-2.694095612E1,-4.424621582E0
2.557501754E1,1.039313316E1,-2.682720566E1,-4.689453125E0
2.558501554E1,1.039313316E1,-2.682720566E1,-4.689453125E0
2.559501354E1,1.032815552E1,-2.693222237E1,-4.745788574E0
2.560501154E1,1.032815552E1,-2.693222237E1,-4.745788574E0
2.561500854E1,1.035921383E1,-2.693775749E1,-4.814941406E0
2.562500654E1,1.035921383E1,-2.693775749E1,-4.814941406E0
2.563500454E1,1.061086273E1,-2.665864372E1,-4.982238770E0
2.564500254E1,1.061086273E1,-2.665864372E1,-4.982238770E0
2.565500054E1,1.091194344E1,-2.679483223E1,-5.176452637E0
2.566499854E1,1.091194344E1,-2.679483223E1,-5.176452637E0
2.567499554E1,1.075933647E1,-2.651685905E1,-5.293945312E0
2.568499354E1,1.075933647E1,-2.651685905E1,-5.293945312E0
2.569499154E1,1.089737701E1,-2.665150642E1,-5.385925293E0
2.570498954E1,1.089737701E1,-2.665150642E1,-5.385925293E0
2.571498654E1,1.076508617E1,-2.668325233E1,-5.394653320E0
2.572498454E1,1.076508617E1,-2.668325233E1,-5.394653320E0
2.573498254E1,1.106882668E1,-2.671808815E1,-5.529113770E0
2.574498054E1,1.106882668E1,-2.671808815E1,-5.529113770E0
2.575497854E1,1.084443474E1,-2.644775391E1,-5.388427734E0
2.576497554E1,1.084443474E1,-2.644775391E1,-5.388427734E0
2.577497313E1,1.088169765E1,-2.651738167E1,-5.653503418E0
2.578497113E1,1.088169765E1,-2.651738167E1,-5.653503418E0
2.579496913E1,1.096567917E1,-2.627631950E1,-5.924743652E0
