"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.204427958E0,1.144475520E-1,9.745495856E-2,1.120566255E-1
2.214425958E0,1.196340322E-2,-2.758891761E-2,1.246752092E-1
2.224424958E0,-1.236861527E-2,-3.634804666E-2,6.255175889E-2
2.234422958E0,-1.912010282E-2,1.442683518E-2,6.072538108E-2
2.244420958E0,-4.274314642E-4,-2.873964965E-2,3.359517753E-2
2.254418958E0,1.835236341E-2,-1.279359090E-1,-7.744929492E-3
2.264416958E0,6.027280658E-2,-1.858262676E-1,-1.170904934E-2
2.274414958E0,6.173110217E-2,-1.204953271E-1,-9.788268238E-2
2.284412958E0,9.799816489E-2,-1.055293787E-1,-1.506543884E-1
2.294410958E0,1.331378844E-1,-1.162338763E-1,-1.623444343E-1
2.304408958E0,8.941474468E-2,-1.180213702E-1,-1.592302072E-1
2.314406958E0,-9.674803019E-3,-7.463853836E-2,-1.553844935E-1
2.324404958E0,-9.624692380E-2,-1.572140872E-2,-1.529871351E-1
2.334402958E0,-1.051282597E-1,-5.697643876E-2,-1.005253315E-1
2.344400958E0,-6.555752009E-2,-9.332214653E-2,4.603015870E-2
2.354398958E0,9.913544834E-2,-1.078454608E-1,7.455492318E-2
2.364397958E0,2.143720821E-1,-6.448660254E-2,5.305120289E-2
2.374395958E0,2.209206712E-1,-1.027238846E-2,1.828038418E-1
2.384393958E0,1.780333909E-1,5.054040849E-2,1.209408849E-1
2.394391958E0,1.890726417E-1,6.329844832E-2,7.660437226E-2
2.404389958E0,2.859294301E-1,8.302403033E-2,-2.725328743E-2
2.414387958E0,2.587430933E-1,1.263179845E-1,-1.672727600E-1
2.424385958E0,1.507254320E-1,1.556078571E-1,-2.164308867E-1
2.434383958E0,8.522462994E-2,1.239814371E-1,-1.664866018E-1
2.444381958E0,4.494023770E-2,6.812064707E-2,-5.192853749E-2
2.454379958E0,1.113774714E-1,-2.087865293E-2,-7.511099339E-2
2.464377958E0,1.827778217E-1,-1.905490637E-2,-1.329446340E-1
2.474375958E0,1.538694799E-1,5.784708917E-2,-3.272218823E-2
2.484373958E0,2.563758481E-1,4.721977472E-2,8.176161647E-3
2.494371958E0,3.029840040E-1,5.424111128E-2,-3.468042076E-2
2.504370958E0,2.474044651E-1,5.242028832E-3,-1.275830296E-1
2.514368958E0,1.264448690E-1,-3.635213971E-2,-9.757862717E-2
2.524366958E0,7.095596194E-3,-6.449888170E-2,-1.045271659E-1
2.534364958E0,-8.510330021E-2,-1.424264789E-1,-1.053533775E-1
2.544362958E0,-6.855275631E-2,-1.873822117E-1,-9.722925603E-2
