"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.822443742E1,-4.432582397E0,4.480782166E0,7.591613159E0
2.823443542E1,-4.437971191E0,4.488416290E0,7.521558838E0
2.824443342E1,-4.439019012E0,4.532125397E0,7.583829346E0
2.825443042E1,-4.357438660E0,4.578528900E0,7.675289154E0
2.826442842E1,-4.267625427E0,4.550237732E0,7.731871490E0
2.827442642E1,-4.292174377E0,4.517904968E0,7.756570129E0
2.828442442E1,-4.385131073E0,4.527485046E0,7.794441376E0
2.829442242E1,-4.474644928E0,4.527784424E0,7.805967407E0
2.830442042E1,-4.545747070E0,4.471351776E0,7.719447327E0
2.831441742E1,-4.586163025E0,4.445605316E0,7.693401489E0
2.832441542E1,-4.573738861E0,4.475393372E0,7.677235107E0
2.833441342E1,-4.509971466E0,4.465962982E0,7.640561371E0
2.834441142E1,-4.471950531E0,4.424050140E0,7.582931213E0
2.835440942E1,-4.423601074E0,4.445305939E0,7.610773315E0
2.836440642E1,-4.312382355E0,4.473746796E0,7.636669464E0
2.837440442E1,-4.260290680E0,4.487817535E0,7.612719269E0
2.838440242E1,-4.355343018E0,4.482877808E0,7.573051758E0
2.839440042E1,-4.465962982E0,4.485123138E0,7.611970825E0
2.840439842E1,-4.486769714E0,4.445305939E0,7.585625610E0
2.841439642E1,-4.524940338E0,4.370311890E0,7.500153351E0
2.842439342E1,-4.579277344E0,4.377197571E0,7.523654480E0
2.843439142E1,-4.554279327E0,4.426445160E0,7.616012421E0
2.844438942E1,-4.454137573E0,4.438719635E0,7.687264252E0
2.845438742E1,-4.440515900E0,4.469405823E0,7.716453552E0
2.846438542E1,-4.487518158E0,4.493954773E0,7.705975342E0
2.847438242E1,-4.509672089E0,4.465064850E0,7.699838104E0
2.848438042E1,-4.532275085E0,4.410428467E0,7.665110321E0
2.849437842E1,-4.591701508E0,4.374952240E0,7.615263977E0
2.850437642E1,-4.612957306E0,4.367617493E0,7.575446777E0
2.851437442E1,-4.589905243E0,4.330045624E0,7.516170044E0
2.852437242E1,-4.553979950E0,4.338577881E0,7.532037048E0
2.853436942E1,-4.477189636E0,4.390220490E0,7.505093079E0
2.854436742E1,-4.426145782E0,4.409230957E0,7.479945374E0
2.855436542E1,-4.441713409E0,4.424948273E0,7.485034790E0
2.856436342E1,-4.439917145E0,4.464915161E0,7.468718719E0
2.857436142E1,-4.426145782E0,4.434378662E0,7.475454712E0
2.858435842E1,-4.383334808E0,4.396806793E0,7.499554596E0
