"Time (s)","X (hPa)"
4.924031473E2,1.015933990E3
4.933542873E2,1.015932312E3
4.943054813E2,1.015932312E3
4.952566953E2,1.015931854E3
4.962079093E2,1.015932465E3
4.971590253E2,1.015934448E3
4.981101203E2,1.015936127E3
4.990612723E2,1.015936127E3
5.000124823E2,1.015935211E3
5.009635093E2,1.015934753E3
5.019145823E2,1.015931396E3
5.028659003E2,1.015928955E3
5.038170973E2,1.015927277E3
5.047681533E2,1.015926514E3
5.057193173E2,1.015926285E3
5.066703253E2,1.015926285E3
5.076213053E2,1.015926285E3
5.085723743E2,1.015925674E3
5.095234163E2,1.015925217E3
5.104745473E2,1.015924454E3
5.114256393E2,1.015922928E3
5.123765993E2,1.015921783E3
5.133275983E2,1.015921097E3
5.142785973E2,1.015920258E3
5.152295183E2,1.015919342E3
5.161803053E2,1.015919342E3
5.171311193E2,1.015919495E3
5.180821213E2,1.015920868E3
5.190330583E2,1.015922546E3
5.199840663E2,1.015925446E3
5.209350553E2,1.015929031E3
5.218861483E2,1.015932007E3
5.228370723E2,1.015934296E3
5.237879043E2,1.015936508E3
5.247388503E2,1.015936966E3
5.256897653E2,1.015937500E3
5.266405663E2,1.015938492E3
5.275913953E2,1.015938492E3
5.285422293E2,1.015938492E3
5.294930183E2,1.015939255E3
5.304437233E2,1.015939255E3
5.313943973E2,1.015939178E3
5.323451863E2,1.015938797E3
5.332959523E2,1.015936508E3
5.342467113E2,1.015933685E3
5.351975103E2,1.015930557E3
5.361483133E2,1.015925598E3
5.370991043E2,1.015921402E3
5.380497623E2,1.015918579E3
5.390005403E2,1.015915680E3
5.399513483E2,1.015914230E3
5.409019613E2,1.015914230E3
5.418526023E2,1.015915451E3
5.428032573E2,1.015917358E3
5.437539423E2,1.015920105E3
5.447045793E2,1.015920563E3
5.456552253E2,1.015921707E3
5.466057373E2,1.015921783E3
5.475562763E2,1.015921707E3
5.485067793E2,1.015921860E3
5.494573783E2,1.015922394E3
5.504079823E2,1.015923691E3
5.513585113E2,1.015923843E3
5.523089263E2,1.015923996E3
5.532592893E2,1.015923996E3
5.542096613E2,1.015923996E3
5.551601673E2,1.015923920E3
5.561107193E2,1.015923462E3
5.570613343E2,1.015923462E3
5.580117733E2,1.015924072E3
5.589622293E2,1.015924149E3
5.599128173E2,1.015924454E3
5.608632323E2,1.015924606E3
5.618135253E2,1.015924606E3
5.627639473E2,1.015924530E3
5.637143993E2,1.015924377E3
5.646648493E2,1.015924377E3
5.656153733E2,1.015924225E3
5.665657803E2,1.015922546E3
5.675161273E2,1.015922546E3
5.684666593E2,1.015922623E3
5.694171153E2,1.015922699E3
5.703676123E2,1.015922928E3
5.713180513E2,1.015923004E3
5.722684713E2,1.015923004E3
5.732189223E2,1.015922394E3
5.741693283E2,1.015922241E3
5.751196923E2,1.015921402E3
5.760700193E2,1.015921402E3
5.770203333E2,1.015921402E3
5.779705803E2,1.015921402E3
5.789208603E2,1.015920792E3
5.798711363E2,1.015920105E3
5.808214133E2,1.015918274E3
5.817716523E2,1.015915451E3
5.827218393E2,1.015914001E3
5.836722003E2,1.015911789E3
5.846224063E2,1.015910568E3
5.855726793E2,1.015910339E3
5.865229963E2,1.015910339E3
5.874732783E2,1.015910339E3
5.884235983E2,1.015912170E3
5.893740883E2,1.015913467E3
5.903243803E2,1.015914078E3
5.912746933E2,1.015914230E3
5.922249033E2,1.015914230E3
5.931750713E2,1.015914154E3
5.941252923E2,1.015912933E3
5.950755153E2,1.015911713E3
5.960257043E2,1.015909576E3
5.969759843E2,1.015908813E3
5.979262073E2,1.015906754E3
5.988763933E2,1.015905457E3
5.998264693E2,1.015904770E3
6.007766883E2,1.015903931E3
6.017269853E2,1.015903854E3
6.026773063E2,1.015903778E3
6.036276593E2,1.015903397E3
6.045779293E2,1.015903397E3
6.055283453E2,1.015903244E3
6.064786843E2,1.015903702E3
6.074290563E2,1.015904388E3
6.083794663E2,1.015906448E3
6.093298063E2,1.015908432E3
6.102800963E2,1.015909729E3
6.112304973E2,1.015911179E3
6.121809363E2,1.015912247E3
6.131313943E2,1.015912933E3
6.140817963E2,1.015914764E3
6.150322533E2,1.015916519E3
6.159827173E2,1.015919113E3
6.169332983E2,1.015920944E3
6.178838293E2,1.015923004E3
6.188343853E2,1.015923233E3
6.197850473E2,1.015925980E3
6.207356443E2,1.015927124E3
6.216861783E2,1.015928650E3
6.226367063E2,1.015929260E3
6.235871963E2,1.015929260E3
6.245377373E2,1.015929260E3
6.254883273E2,1.015929260E3
6.264388823E2,1.015928955E3
6.273893223E2,1.015928955E3
6.283398073E2,1.015928574E3
6.292903603E2,1.015928192E3
6.302409563E2,1.015927734E3
6.311914033E2,1.015927734E3
6.321418683E2,1.015928192E3
6.330923663E2,1.015928345E3
6.340428473E2,1.015928497E3
6.349933283E2,1.015928955E3
6.359440863E2,1.015929947E3
6.368948473E2,1.015930252E3
6.378455053E2,1.015930557E3
6.387962253E2,1.015930557E3
6.397468613E2,1.015930710E3
6.406975703E2,1.015931244E3
6.416482163E2,1.015931244E3
6.425987723E2,1.015931549E3
6.435492333E2,1.015932236E3
6.444996783E2,1.015932236E3
6.454501473E2,1.015932312E3
6.464007323E2,1.015932541E3
6.473513043E2,1.015933533E3
6.483018713E2,1.015933533E3
6.492525223E2,1.015933228E3
6.502031333E2,1.015933075E3
6.511537063E2,1.015932693E3
6.521041283E2,1.015931854E3
6.530545583E2,1.015930252E3
6.540050293E2,1.015930252E3
6.549554703E2,1.015930710E3
6.559059393E2,1.015932236E3
6.568565673E2,1.015932541E3
6.578071483E2,1.015934219E3
6.587577593E2,1.015936127E3
6.597083163E2,1.015936203E3
6.606588203E2,1.015937805E3
6.616094273E2,1.015938492E3
6.625599153E2,1.015938644E3
6.635104753E2,1.015938644E3
6.644610773E2,1.015940399E3
6.654116133E2,1.015940475E3
6.663621123E2,1.015941696E3
6.673127133E2,1.015942688E3
6.682631673E2,1.015943222E3
6.692136073E2,1.015943604E3
6.701641493E2,1.015943985E3
6.711146053E2,1.015944290E3
6.720651473E2,1.015945358E3
6.730157353E2,1.015946732E3
6.739662053E2,1.015946732E3
6.749166803E2,1.015945587E3
6.758672853E2,1.015945587E3
6.768178433E2,1.015946121E3
6.777683123E2,1.015946274E3
6.787188673E2,1.015946579E3
6.796692793E2,1.015948410E3
6.806197243E2,1.015948639E3
6.815701403E2,1.015949249E3
6.825204383E2,1.015949249E3
6.834707853E2,1.015950623E3
6.844210833E2,1.015951157E3
6.853715083E2,1.015953445E3
6.863219953E2,1.015954285E3
6.872724043E2,1.015955200E3
6.882228453E2,1.015955276E3
6.891733723E2,1.015955276E3
6.901237753E2,1.015954819E3
6.910741813E2,1.015953674E3
6.920244793E2,1.015953522E3
6.929747583E2,1.015953522E3
6.939251553E2,1.015952911E3
6.948755773E2,1.015952606E3
6.958259793E2,1.015952530E3
6.967763683E2,1.015952530E3
6.977266743E2,1.015951385E3
6.986770133E2,1.015951233E3
6.996273833E2,1.015949554E3
7.005777063E2,1.015949402E3
7.015280803E2,1.015948563E3
7.024783563E2,1.015948334E3
7.034287323E2,1.015947495E3
7.043791173E2,1.015947342E3
7.053294973E2,1.015947342E3
7.062799523E2,1.015948181E3
7.072303083E2,1.015948792E3
7.081806413E2,1.015949478E3
7.091310093E2,1.015949478E3
7.100811463E2,1.015948257E3
7.110312873E2,1.015946960E3
7.119815493E2,1.015944672E3
7.129317343E2,1.015942917E3
7.138818633E2,1.015941620E3
7.148320483E2,1.015940018E3
7.157822043E2,1.015939484E3
7.167325473E2,1.015939026E3
7.176827853E2,1.015937881E3
7.186330113E2,1.015936508E3
7.195831133E2,1.015935974E3
7.205332983E2,1.015935211E3
7.214834123E2,1.015934982E3
7.224335123E2,1.015934067E3
7.233834963E2,1.015933304E3
7.243336613E2,1.015933151E3
7.252838923E2,1.015933075E3
7.262340573E2,1.015932388E3
7.271842813E2,1.015932388E3
7.281344033E2,1.015932159E3
7.290844933E2,1.015931549E3
7.300346353E2,1.015931396E3
7.309846473E2,1.015930862E3
7.319347963E2,1.015931396E3
7.328850683E2,1.015932236E3
7.338351823E2,1.015932999E3
7.347852423E2,1.015932999E3
7.357352483E2,1.015932999E3
7.366854443E2,1.015932083E3
7.376355673E2,1.015930557E3
7.385856363E2,1.015929184E3
7.395358933E2,1.015928421E3
7.404859443E2,1.015927505E3
7.414360253E2,1.015926056E3
7.423862603E2,1.015925217E3
7.433364203E2,1.015924225E3
7.442866523E2,1.015922775E3
7.452367573E2,1.015922546E3
7.461868113E2,1.015922546E3
7.471367863E2,1.015922546E3
7.480869003E2,1.015923004E3
7.490370133E2,1.015923080E3
7.499872053E2,1.015924606E3
7.509372673E2,1.015925446E3
7.518872963E2,1.015928345E3
7.528372983E2,1.015930481E3
7.537873613E2,1.015934219E3
7.547375103E2,1.015935440E3
7.556876693E2,1.015938416E3
7.566378513E2,1.015938797E3
7.575880773E2,1.015940018E3
7.585383363E2,1.015940628E3
7.594884133E2,1.015943527E3
7.604385403E2,1.015946884E3
7.613886813E2,1.015951233E3
7.623387843E2,1.015956802E3
7.632888323E2,1.015963058E3
7.642388283E2,1.015968246E3
7.651888963E2,1.015972748E3
7.661389483E2,1.015976334E3
7.670889073E2,1.015977707E3
7.680388683E2,1.015978088E3
7.689888393E2,1.015978088E3
7.699388033E2,1.015977936E3
7.708888603E2,1.015977936E3
7.718390083E2,1.015980377E3
7.727891043E2,1.015980835E3
7.737391733E2,1.015980835E3
7.746892003E2,1.015980225E3
7.756391043E2,1.015979004E3
7.765890913E2,1.015978241E3
7.775390383E2,1.015978241E3
7.784888803E2,1.015979080E3
7.794388383E2,1.015979080E3
7.803887503E2,1.015981140E3
7.813386743E2,1.015981140E3
7.822885013E2,1.015980759E3
7.832384193E2,1.015980759E3
7.841881783E2,1.015981369E3
7.851380883E2,1.015982132E3
7.860877703E2,1.015983353E3
7.870376313E2,1.015984573E3
7.879873963E2,1.015985565E3
7.889371593E2,1.015987396E3
7.898870633E2,1.015987396E3
7.908371053E2,1.015987396E3
7.917869813E2,1.015987244E3
7.927369453E2,1.015987167E3
7.936869933E2,1.015985641E3
7.946369393E2,1.015984879E3
7.955869763E2,1.015984116E3
7.965369753E2,1.015981903E3
7.974869203E2,1.015979843E3
7.984368723E2,1.015977859E3
7.993867963E2,1.015977325E3
8.003366233E2,1.015976562E3
8.012864243E2,1.015976334E3
8.022363173E2,1.015976334E3
8.031861163E2,1.015975952E3
8.041358053E2,1.015974884E3
8.050855793E2,1.015974884E3
8.060352293E2,1.015975266E3
8.069851193E2,1.015975647E3
8.079349943E2,1.015976791E3
8.088848033E2,1.015978012E3
8.098347093E2,1.015982437E3
8.107845663E2,1.015984192E3
8.117344193E2,1.015984192E3
8.126842283E2,1.015983276E3
8.136342663E2,1.015982590E3
8.145842353E2,1.015978241E3
8.155341063E2,1.015974274E3
8.164839073E2,1.015974274E3
8.174338963E2,1.015974274E3
8.183838243E2,1.015975418E3
8.193337023E2,1.015976944E3
8.202836253E2,1.015978241E3
8.212336333E2,1.015979462E3
8.221834353E2,1.015980759E3
8.231332353E2,1.015980759E3
8.240830093E2,1.015981369E3
8.250328123E2,1.015982437E3
8.259826573E2,1.015982437E3
