"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.003865709E3,5.235572669E1,4.956925141E0,-3.010541439E0,-1.000000000E0,-1.000000000E0,7.933333333E1,7.933333333E1
1.009877364E3,5.235576790E1,4.957031133E0,-2.718808174E0,-1.000000000E0,-1.000000000E0,7.933333333E1,7.933333333E1
1.015912841E3,5.235577602E1,4.957049146E0,-2.579366684E0,-1.000000000E0,-1.000000000E0,7.933333333E1,7.933333333E1
1.016479855E3,5.235564675E1,4.956676775E0,-2.560760498E0,-1.000000000E0,-1.000000000E0,3.700000000E1,3.700000000E1
1.022493978E3,5.235572735E1,4.956947520E0,-2.506564140E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
1.023053542E3,5.235566876E1,4.956751938E0,-2.508904934E0,-1.000000000E0,-1.000000000E0,4.138755237E1,4.138755237E1
1.023233823E3,5.235586328E1,4.956619071E0,4.217494297E0,4.268964231E-1,9.393553018E1,3.200483309E1,3.200483309E1
1.024233801E3,5.235587625E1,4.956604226E0,-2.678142455E0,1.796035767E-1,8.668794815E1,3.200483309E1,3.200483309E1
1.025232781E3,5.235587736E1,4.956572103E0,-3.373951330E0,4.268964231E-1,8.332128644E1,3.200483309E1,3.200483309E1
1.026232760E3,5.235588036E1,4.956613036E0,-3.443532218E0,1.481676400E-1,7.896576360E1,3.200483309E1,3.200483309E1
1.027232741E3,5.235588375E1,4.956630572E0,-3.450490307E0,3.386851549E-1,7.532505420E1,3.200483309E1,3.200483309E1
1.028232720E3,5.235589064E1,4.956640953E0,-3.451186116E0,1.863542050E-1,6.257567967E1,3.200483309E1,3.200483309E1
1.029236569E3,5.235589202E1,4.956654848E0,-3.451255697E0,8.201234341E-1,1.016847691E2,3.200483309E1,3.200483309E1
1.030236553E3,5.235589459E1,4.956664726E0,-3.451262655E0,8.201234341E-1,1.070049947E2,3.200483309E1,3.200483309E1
1.031236534E3,5.235590072E1,4.956685701E0,-3.451263350E0,9.961268306E-1,9.893908771E1,3.200483309E1,3.200483309E1
1.032236521E3,5.235590510E1,4.956705475E0,-3.450085823E0,5.257563591E-1,9.969740264E1,3.200483309E1,3.200483309E1
1.033236507E3,5.235590521E1,4.956710013E0,-3.447853202E0,4.003151879E-2,8.791115307E1,3.200483309E1,3.200483309E1
1.034236487E3,5.235590291E1,4.956694114E0,-3.446006023E0,4.862791896E-1,9.701992067E1,3.200483309E1,3.200483309E1
1.035236474E3,5.235589847E1,4.956689493E0,-3.445914003E0,1.403997540E-1,9.790402719E1,3.200483309E1,3.200483309E1
1.036236459E3,5.235590166E1,4.956689648E0,-3.446351120E0,2.637096643E-1,9.869252471E1,3.200483309E1,3.200483309E1
1.037236440E3,5.235590380E1,4.956685335E0,-3.446597392E0,6.426227093E-1,9.834583797E1,3.200483309E1,3.200483309E1
1.038236425E3,5.235590244E1,4.956688862E0,-3.446982508E0,7.697941065E-1,9.038560766E1,3.200483309E1,3.200483309E1
1.039236411E3,5.235590249E1,4.956690512E0,-3.447045053E0,7.124428153E-1,8.944916824E1,3.200483309E1,3.200483309E1
1.040236391E3,5.235590211E1,4.956689205E0,-3.446962043E0,7.450906634E-1,8.882888461E1,3.200483309E1,3.200483309E1
1.041236377E3,5.235590166E1,4.956688520E0,-3.446988074E0,7.124428153E-1,8.528349051E1,3.200483309E1,3.200483309E1
1.042236364E3,5.235590330E1,4.956693054E0,-3.447062775E0,1.040440798E0,8.990626499E1,3.200483309E1,3.200483309E1
